country-p,country,condition,year,media_vct,num,phase,alpha3,continent
Spain-1,Spain,Breast Cancer,2010,1450.6666666666667,3,1,ESP,EU
France-1,France,Breast Cancer,2010,1659.0,2,1,FRA,EU
Netherlands-1,Netherlands,Breast Cancer,2010,670.5,2,1,NLD,EU
Belgium-2,Belgium,Breast Cancer,2010,1263.5,4,2,BEL,EU
Denmark-2,Denmark,Breast Cancer,2010,1856.5,2,2,DNK,EU
Spain-2,Spain,Breast Cancer,2010,1513.8,5,2,ESP,EU
France-2,France,Breast Cancer,2010,1562.4444444444443,9,2,FRA,EU
United Kingdom-2,United Kingdom,Breast Cancer,2010,1506.5,2,2,GBR,EU
Italy-2,Italy,Breast Cancer,2010,1608.5,2,2,ITA,EU
Switzerland-3,Switzerland,Breast Cancer,2010,1740.0,2,3,CHE,EU
Germany-3,Germany,Breast Cancer,2010,1615.75,4,3,DEU,EU
Spain-3,Spain,Breast Cancer,2010,1680.0,2,3,ESP,EU
France-3,France,Breast Cancer,2010,1959.8333333333333,6,3,FRA,EU
Italy-3,Italy,Breast Cancer,2010,1724.5,2,3,ITA,EU
Netherlands-3,Netherlands,Breast Cancer,2010,1536.3333333333333,3,3,NLD,EU
Poland-3,Poland,Breast Cancer,2010,1680.0,2,3,POL,EU
Netherlands-1,Netherlands,Prostate Cancer,2010,1385.5,2,1,NLD,EU
Germany-2,Germany,Prostate Cancer,2010,806.5,2,2,DEU,EU
France-2,France,Prostate Cancer,2010,2330.5,2,2,FRA,EU
Belgium-3,Belgium,Prostate Cancer,2010,2105.0,3,3,BEL,EU
Germany-3,Germany,Prostate Cancer,2010,2191.5,2,3,DEU,EU
Spain-3,Spain,Prostate Cancer,2010,2105.0,3,3,ESP,EU
Finland-3,Finland,Prostate Cancer,2010,2503.5,2,3,FIN,EU
France-3,France,Prostate Cancer,2010,2105.0,3,3,FRA,EU
United Kingdom-3,United Kingdom,Prostate Cancer,2010,2191.5,2,3,GBR,EU
Hungary-3,Hungary,Prostate Cancer,2010,1620.0,2,3,HUN,EU
Italy-3,Italy,Prostate Cancer,2010,2105.0,3,3,ITA,EU
Netherlands-3,Netherlands,Prostate Cancer,2010,2105.0,3,3,NLD,EU
Poland-3,Poland,Prostate Cancer,2010,2503.5,2,3,POL,EU
Sweden-3,Sweden,Prostate Cancer,2010,1811.0,2,3,SWE,EU
Switzerland-2,Switzerland,Lung Cancer,2010,1536.5,2,2,CHE,EU
Germany-2,Germany,Melanoma,2010,1883.5,2,2,DEU,EU
Italy-2,Italy,Melanoma,2010,1883.5,2,2,ITA,EU
Netherlands-2,Netherlands,Melanoma,2010,1659.5,2,2,NLD,EU
United Kingdom-3,United Kingdom,Melanoma,2010,1823.5,2,3,GBR,EU
